Derek's,QB,Willie Tuitama,Arizona,So,Trade w/Mike 7-30-06
Trojans,,Patrick White,West Virginia,So.,"FA (Wk.7, 2005)"
,,Graham Harrell,Texas Tech,So,"FA (Wk.12, 2004)"
,,Kerry Meier,Kansas,R-Fr,"Draft (24, 2006)"
,,Shawn Bell,Baylor,Sr,"Draft (52, 2006)"
,RB,Marshawn Lynch,California,Jr.,"FA (Wk.1, 2004)"
,,Steve Slaton,West Virginia,So.,"FA (Wk.5, 2005)"
,,Shannon Woods,Texas Tech,So.,"FA (Wk.4, 2005)"
,,Michael Bush,Louisville,Sr,"Draft (1, 2006)"
,,Chris Markey,UCLA,Jr,"Draft (15, 2006)"
,,Kenny Wilson,Nebraska,Jr,"Draft (23, 2006)"
,,Rashard Mendenhall,Illinois,So,"Draft (55, 2006)"
,WR,Rudy Burgess,Arizona State,Jr.,"Draft (52nd, 2005)"
,,Jason Hill,Washington State,Sr,"FA (Wk.2, 2004)"
,,Desean Jackson,California,So.,"Draft (4th, 2005)"
,,Sidney Rice,South Carolina,So.,"FA (Wk.2, 2005)"
,,Earl Bennett,Vanderbilt,So.,"FA (Wk 11, 2005)"
,,Percy Harvin,Florida,Fr,"Draft (10, 2006)"
,,Limas Sweed,Texas ,Jr,"Draft (39, 2006)"
,TE,Joe Newton,Oregon State,Sr,"Draft (31, 2006)"
,K,Brandon Coutu,Georgia  ,Jr,"FA (Wk.10, 2005)"
,D,Texas ,Texas,,"Draft (47, 2006)"
Luke's,QB,Reggie Ball,Georgia Tech,Sr,"FA (Wk.2, 2003)"
Fighting,,John David Booty,USC,Jr,"FA (Wk.6, 2005)"
Irish,,Anthony Morelli,Penn State,Jr,"FA (Wk.7, 2005)"
,,Tyler Palko,Pittsburgh,Sr,"Draft (11th, 2005)"
,,Brent Schaeffer,Ole Miss,Jr,"Draft (9, 2006)"
,,Chad Henne,Michigan,Jr,"Draft (17, 2006)"
,,Jevan Snead,Texas,Fr,"Draft (33, 2006)"
,RB,Toney Baker,North Carolina State,So.,"FA (Wk.3, 2005)"
,,Hugh Charles,Colorado,Jr.,"FA (Wk.1, 2005)"
,,James Davis,Clemson,So.,"FA (Wk.1, 2005)"
,,Tony Hunt,Penn State,Sr,"Draft (47th, 2005)"
,,Darius Walker,Notre Dame,Jr.,"FA (Wk.2, 2004)"
,,Deshawn Wynn,Florida,Sr.,"Draft (74th, 2005)"
,,Stafon Johnson,USC,Fr,"Draft (25, 2006)"
