77,8,Brigham Young,Cougars
8,7,Alabama,Crimson Tide
31,7,Arkansas,Hogs
37,7,Auburn,Tigers
235,7,Florida,Gators
257,7,Georgia,Bulldogs
334,7,Kentucky,Wildcats
365,7,LSU,Tigers
430,7,Mississippi State,Bulldogs
433,7,Ole Miss,Rebels
694,7,Tennessee,Vols
648,7,South Carolina,Gamecocks
736,7,Vanderbilt,Commodores
28,6,Arizona State,Sun Devils
29,6,Arizona,Wildcats
107,6,California,Bears
528,6,Oregon State,Beavers
529,6,Oregon,Ducks
657,6,USC,Trojans
674,6,Stanford,Cardinal
754,6,Washington State,Cougars
756,6,Washington,Huskies
110,6,UCLA,Bruins
513,5,Notre Dame,Fighting Irish
157,4,Colorado,Buffaloes
51,4,Baylor,Bears
327,4,Kansas State,Wildcats
328,4,Kansas,Jayhawks
434,4,Missouri,Tigers
463,4,Nebraska,Cornhuskers
521,4,Oklahoma State,Cowboys
522,4,Oklahoma,Sooners
697,4,Texas A&M,Aggies
700,4,Texas Tech,Red Raiders
703,4,Texas,Longhorns
311,4,Iowa State,Cyclones
164,3,Connecticut,Huskies
545,3,Pittsburgh,Panthers
688,3,Syracuse,Orangemen
768,3,West Virginia,Mountaineers
367,3,Louisville,Cardinals
587,3,Rutgers,Scarlet Knights
651,3,South Florida,Bulls
301,2,Illinois,Fighting Illini
306,2,Indiana,Hoosiers
312,2,Iowa,Hawkeyes
416,2,Michigan State,Spartans
418,2,Michigan,Wolverines
428,2,Minnesota,Gophers
509,2,Northwestern,Wildcats
518,2,Ohio State,Buckeyes
539,2,Penn State,Nittany Lions
559,2,Purdue,Boilermakers
796,2,Wisconsin,Badgers
67,1,Boston College,Eagles
147,1,Clemson,Tigers
193,1,Duke,Blue Devils
255,1,Georgia Tech,Yellow Jackets
457,1,North Carolina,Tar Heels
490,1,North Carolina State,Wolfpack
742,1,Virginia Tech,Hokies
746,1,Virginia,Cavaliers
749,1,Wake Forest,Deamon Deacons
392,1,Maryland,Terrapins
415,1,Miami,Hurricanes
234,1,Florida State,Seminoles
5,11,Akron,Zips
9,10,UAB,Blazers
30,12,Arkansas State,Indians
47,11,Ball State,Cardinals
66,9,Boise State,Broncos
71,11,Bowling Green,Falcons
86,11,Buffalo,Bulls
96,9,Fresno State,Bulldogs
128,10,UCF,Golden Knights
129,11,Central Michigan,Chippewas
140,3,Cincinnati,Bearcats
156,8,Colorado State,Rams
196,10,East Carolina,Pirates
204,11,Eastern Michigan,Eagles
229,12,Fla Atlantic,Owls
231,12,Florida Intl,Golden Panthers
277,9,Hawaii,Rainbow Warriors
288,10,Houston,Cougars
295,9,Idaho,Vandals
331,11,Kent State,Golden Flashes
366,9,Louisiana Tech,Bulldogs
388,10,Marshall,Thundering Herd
404,10,Memphis,Tigers
414,11,Miami (OHIO),RedHawks
419,12,Middle Tennessee State,Blue Raiders
465,8,UNLV,Rebels
466,9,Nevada,Wolfpack
472,9,New Mexico State,Aggies
473,8,New Mexico,Lobos
497,12,North Texas,Mean Green
498,12,Louisiana Monroe,Indians
503,11,Northern Illinois,Huskies
519,11,Ohio,Bobcats
574,10,Rice,Owls
626,8,San Diego State,Aztecs
630,9,San Jose State,Spartans
663,10,SMU,Mustangs
664,10,Southern Mississippi,Golden Eagles
671,12,La Lafayette,Ragin' Cajuns
690,5,Temple,Owls
698,8,TCU,Horned Frogs
704,10,UTEP,Miners
709,11,Toledo,Rockets
716,12,Troy,Trojans
718,10,Tulane,Green Wave
719,10,Tulsa,Golden Hurricane
721,8,Air Force,Falcons
725,5,Army,Black Knights
726,5,Navy,Midshipmen
731,9,Utah State,Aggies
732,8,Utah,Utes
774,11,Western Michigan,Broncos
811,8,Wyoming,Cowboys
315,13,Jacksonville State,Gamecocks           
501,14,Northern Arizona,Lumberjacks
695,13,Tennessee-Martin,Skyhawks
669,15,Missouri State,Bears
772,15,Western Kentucky,Hilltoppers
625,13,Samford,Bulldogs
550,14,Portland State,Vikings 
201,13,Eastern Illinois,Panthers  
758,14,Weber State,Wildcats     
102,14,Sacramento State,Hornets
769,16,Western Carolina,Catamounts    
355,17,Liberty,Flames    
741,17,Virginia Military,Keydets  
228,18,Florida A&M,Rattlers       
141,16,Citadel,Bulldogs
624,19,Sam Houston State,Bearkats 
483,19,Nicholls State,Colonels      
299,15,Illinois State,Redbirds
504,15,Northern Iowa,Panters
27,16,Appalachian State,Mountaineers    
654,13,SE Missouri State,Redhawks  
294,14,Idaho State,Bengals 
786,20,William & Mary,Tribe 
693,16,Chattanooga,Mocs    
454,13,Murray State,Racers 
380,20,Maine,Black Bears    
202,13,Eastern Kentucky,Colonels   
508,19,Northwestern State,Demons     
692,13,Tennessee Tech,Golden Eagles     
440,14,Montana State,Bobcats
441,14,Montana,Grizzlies       
817,15,Youngstown State,Penguins  
739,20,Villanova,Wildcats  
207,14,Eastern Washington,Eagles  
402,19,McNeese State,Cowboys  
108,21,UC Davis,Aggies     
670,19,Texas State,Bobcats   
305,15,Indiana State,Sycamores    
699,22,Texas Southern,Tigers    
771,15,Western Illinois,Leathernecks  
90,21,Cal Poly,Mustangs 
655,19,SE Louisiana,Lions  
400,20,Massachusetts,Minutemen
575,20,Richmond,Spiders   
261,22,Grambling State,Tigers   
2915,16,Wofford,Terriers
659,15,Southern Illinois,Salukis
